Station Name,AMQUI,,,,,,,,,,,,,,,,,,,,,,,,,
Province,QUEBEC,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.47,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-67.43,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,166,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,7050145,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71386,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WZS,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
2001/1/30,2001,1,30,,-2.4,,-14.2,,-8.3,,26.3,,0,,,M,,M,1,,,,30,,39,
2001/1/31,2001,1,31,,-11.7,,-16.4,,-14.1,,32.1,,0,,,M,,M,0,,,,,,<31,
2001/2/1,2001,2,1,,-7,,-18.7,,-12.9,,30.9,,0,,,M,,M,0,,,,,,<31,
2001/2/2,2001,2,2,,-5.4,,-14.4,,-9.9,,27.9,,0,,,M,,M,0,,,,,,<31,
2001/2/3,2001,2,3,,-6.5,,-19.2,,-12.9,,30.9,,0,,,M,,M,0,,,,,,<31,
2001/2/4,2001,2,4,,-9.9,,-23.8,,-16.9,,34.9,,0,,,M,,M,0,,,,,,<31,
2001/2/5,2001,2,5,,-3.5,,-23.4,,-13.5,,31.5,,0,,,M,,M,0,,,,,,<31,
2001/2/6,2001,2,6,,-4.8,,-7.7,,-6.3,,24.3,,0,,,M,,M,15,,,,36,,39,
2001/2/7,2001,2,7,,-5,,-7.9,,-6.5,,24.5,,0,,,M,,M,4,,,,30,,48,
2001/2/8,2001,2,8,,-5.8,E,-9.7,E,-7.8,E,25.8,E,0,E,,M,,M,0,,,,,M,,M
2001/2/9,2001,2,9,,-8.1,E,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2001/2/10,2001,2,10,,3.4,,-18.4,,-7.5,,25.5,,0,,,M,,M,18,,,,26,,76,
2001/2/11,2001,2,11,,-12.9,,-20.2,,-16.6,,34.6,,0,,,M,,M,2.8,,,,31,,70,
2001/2/12,2001,2,12,,-9.3,,-18.1,,-13.7,,31.7,,0,,,M,,M,0,,,,29,,44,
2001/2/13,2001,2,13,,-7.8,,-19.4,,-13.6,,31.6,,0,,,M,,M,0,,,,,,<31,
2001/2/14,2001,2,14,,-7.6,,-20,,-13.8,,31.8,,0,,,M,,M,5.2,,,,,,<31,
2001/2/15,2001,2,15,,-6.4,,-18.8,,-12.6,,30.6,,0,,,M,,M,3,,,,33,,43,
2001/2/16,2001,2,16,,-4.5,,-23,,-13.8,,31.8,,0,,,M,,M,0,,,,,,<31,
2001/2/17,2001,2,17,,-6,,-18.3,,-12.2,,30.2,,0,,,M,,M,0,,,,34,,57,
2001/2/18,2001,2,18,,-11.5,,-21.9,,-16.7,,34.7,,0,,,M,,M,0,,,,32,,54,
2001/2/19,2001,2,19,,-4.2,,-22.8,,-13.5,,31.5,,0,,,M,,M,0,,,,18,,37,
2001/2/20,2001,2,20,,3.1,,-7.6,,-2.3,,20.3,,0,,,M,,M,0,,,,,,<31,
2001/2/21,2001,2,21,,-0.4,,-23.5,,-12,,30,,0,,,M,,M,5.1,,,,32,,61,
2001/2/22,2001,2,22,,-21.1,,-27.5,,-24.3,,42.3,,0,,,M,,M,0,,,,31,,59,
2001/2/23,2001,2,23,,-10.2,,-26.3,,-18.3,,36.3,,0,,,M,,M,0,,,,15,,33,
2001/2/24,2001,2,24,,-12.1,,-20.7,,-16.4,,34.4,,0,,,M,,M,0,,,,31,,50,
2001/2/25,2001,2,25,,-4.5,,-24.2,,-14.4,,32.4,,0,,,M,,M,6.9,,,,14,,37,
2001/2/26,2001,2,26,,-3.5,,-9,,-6.3,,24.3,,0,,,M,,M,12,,,,31,,46,
2001/2/27,2001,2,27,,-8.7,,-16.1,,-12.4,,30.4,,0,,,M,,M,0,,,,31,,54,
2001/2/28,2001,2,28,,-15.2,,-19.7,,-17.5,,35.5,,0,,,M,,M,0,,,,32,,52,
2001/3/1,2001,3,1,,-16.1,,-31.6,,-23.9,,41.9,,0,,,M,,M,0,,,,30,,35,
2001/3/2,2001,3,2,,-12.3,,-34.8,,-23.6,,41.6,,0,,,M,,M,1,,,,,,<31,
2001/3/3,2001,3,3,,-8.6,,-32.9,,-20.8,,38.8,,0,,,M,,M,4,,,,,,<31,
2001/3/4,2001,3,4,,-4.5,,-21.6,,-13.1,,31.1,,0,,,M,,M,0,,,,,,<31,
2001/3/5,2001,3,5,,-0.2,,-6.9,,-3.6,,21.6,,0,,,M,,M,0,,,,,,<31,
2001/3/6,2001,3,6,,2.1,,-10.7,,-4.3,,22.3,,0,,,M,,M,0,,,,3,,35,
2001/3/7,2001,3,7,,0.2,,-15,,-7.4,,25.4,,0,,,M,,M,0,,,,32,,33,
2001/3/8,2001,3,8,,3.1,,-19.7,,-8.3,,26.3,,0,,,M,,M,0,,,,,,<31,
2001/3/9,2001,3,9,,3.7,,-14.9,,-5.6,,23.6,,0,,,M,,M,0,,,,,,<31,
2001/3/10,2001,3,10,,0.7,,-16,,-7.7,,25.7,,0,,,M,,M,0,,,,35,,39,
2001/3/11,2001,3,11,,4,,-5,,-0.5,,18.5,,0,,,M,,M,0,,,,29,,41,
2001/3/12,2001,3,12,,-2.4,,-15.5,,-9,,27,,0,,,M,,M,0,,,,32,,54,
2001/3/13,2001,3,13,,-4.6,,-17.4,,-11,,29,,0,,,M,,M,4.2,,,,13,,35,
2001/3/14,2001,3,14,,0.2,,-8.4,,-4.1,,22.1,,0,,,M,,M,4.8,,,,,,<31,
2001/3/15,2001,3,15,,-0.1,,-4.3,,-2.2,,20.2,,0,,,M,,M,1,,,,30,,54,
2001/3/16,2001,3,16,,-2.1,,-4.4,,-3.3,,21.3,,0,,,M,,M,1,,,,31,,50,
2001/3/17,2001,3,17,,3.2,,-4,,-0.4,,18.4,,0,,,M,,M,0,,,,29,,33,
2001/3/18,2001,3,18,,4.8,,-0.7,,2.1,,15.9,,0,,,M,,M,0,,,,36,,33,
2001/3/19,2001,3,19,,5,,-4.8,,0.1,,17.9,,0,,,M,,M,0,,,,36,,35,
2001/3/20,2001,3,20,,4.9,,-8.8,,-2,,20,,0,,,M,,M,5,,,,,,<31,
2001/3/21,2001,3,21,,11,,-9.2,,0.9,,17.1,,0,,,M,,M,0,,,,,,<31,
2001/3/22,2001,3,22,,6,,-4.8,,0.6,,17.4,,0,,,M,,M,0,,,,11,,37,
2001/3/23,2001,3,23,,2.2,,-2,,0.1,,17.9,,0,,,M,,M,0,,,,9,,50,
2001/3/24,2001,3,24,,1.8,,-2.4,,-0.3,,18.3,,0,,,M,,M,2,,,,,,<31,
2001/3/25,2001,3,25,,-1.8,,-8,,-4.9,,22.9,,0,,,M,,M,6,,,,29,,46,
2001/3/26,2001,3,26,,-3.8,,-11.6,,-7.7,,25.7,,0,,,M,,M,0,,,,30,,41,
2001/3/27,2001,3,27,,-2.3,,-11.6,,-7,,25,,0,,,M,,M,0,,,,,,<31,
2001/3/28,2001,3,28,,-0.7,,-15.1,,-7.9,,25.9,,0,,,M,,M,2,,,,,,<31,
2001/3/29,2001,3,29,,4.6,,-14.7,,-5.1,,23.1,,0,,,M,,M,4,,,,,,<31,
2001/3/30,2001,3,30,,5.3,,-12.9,,-3.8,,21.8,,0,,,M,,M,0,,,,,,<31,
2001/3/31,2001,3,31,,4.7,,-3.8,,0.5,,17.5,,0,,,M,,M,0,,,,3,,35,
2001/4/1,2001,4,1,,2.1,,-5,,-1.5,,19.5,,0,,,M,,M,0,,,,36,,32,
2001/4/2,2001,4,2,,0.8,,-3.7,,-1.5,,19.5,,0,,,M,,M,0,,,,1,,32,
2001/4/3,2001,4,3,,2.7,,-7.6,,-2.5,,20.5,,0,,,M,,M,0,,,,1,,41,
2001/4/4,2001,4,4,,7.8,,-10.1,,-1.2,,19.2,,0,,,M,,M,1,,,,32,,33,
2001/4/5,2001,4,5,,4.7,,-3.3,E,0.7,E,17.3,E,0,E,,M,,M,,M,,,33,E,35,E
2001/4/6,2001,4,6,,0.4,,-8.4,,-4,,22,,0,,,M,,M,,M,,,33,,35,
2001/4/7,2001,4,7,,5,,-9.7,,-2.4,,20.4,,0,,,M,,M,0,,,,,,<31,
2001/4/8,2001,4,8,,5.1,,-9.1,,-2,,20,,0,,,M,,M,0,,,,15,,48,
2001/4/9,2001,4,9,,4.6,,-1.2,,1.7,,16.3,,0,,,M,,M,3,,,,,,<31,
2001/4/10,2001,4,10,,4.3,,-5,,-0.4,,18.4,,0,,,M,,M,2,,,,33,,41,
2001/4/11,2001,4,11,,4.9,,-7.3,,-1.2,,19.2,,0,,,M,,M,0,,,,,,<31,
2001/4/12,2001,4,12,,8.4,,-9.6,,-0.6,,18.6,,0,,,M,,M,8,,,,15,,48,
2001/4/13,2001,4,13,,1.8,,-1.8,,0,,18,,0,,,M,,M,8,,,,14,,39,
2001/4/14,2001,4,14,,1.1,,-0.8,,0.2,,17.8,,0,,,M,,M,4,,,,34,,44,
2001/4/15,2001,4,15,,2.7,,-0.9,,0.9,,17.1,,0,,,M,,M,1,,,,32,,37,
2001/4/16,2001,4,16,,3.8,,0.2,,2,,16,,0,,,M,,M,1,,,,31,,37,
2001/4/17,2001,4,17,,4.1,,-1,,1.6,,16.4,,0,,,M,,M,0,,,,32,,37,
2001/4/18,2001,4,18,,1.9,,-3.6,,-0.9,,18.9,,0,,,M,,M,0,,,,35,,43,
2001/4/19,2001,4,19,,3.7,,-4.8,,-0.6,,18.6,,0,,,M,,M,0,,,,33,,37,
2001/4/20,2001,4,20,,12,,-6.9,,2.6,,15.4,,0,,,M,,M,3,,,,27,,52,
2001/4/21,2001,4,21,,16.6,,-1.8,,7.4,,10.6,,0,,,M,,M,0,,,,,,<31,
2001/4/22,2001,4,22,,9.7,,0.9,,5.3,,12.7,,0,,,M,,M,5.6,,,,29,,69,
2001/4/23,2001,4,23,,6.7,,-1.1,,2.8,,15.2,,0,,,M,,M,0,,,,33,,57,
2001/4/24,2001,4,24,,23,,3.6,,13.3,,4.7,,0,,,M,,M,0,,,,33,,52,
2001/4/25,2001,4,25,,6.8,,-3.6,,1.6,,16.4,,0,,,M,,M,0,,,,30,,43,
2001/4/26,2001,4,26,,14.5,,-4.5,,5,,13,,0,,,M,,M,0,,,,19,,41,
2001/4/27,2001,4,27,,10.7,,0.9,,5.8,,12.2,,0,,,M,,M,0,,,,33,,37,
2001/4/28,2001,4,28,,4.2,,-2,,1.1,,16.9,,0,,,M,,M,0,,,,33,,54,
2001/4/29,2001,4,29,,5.8,,-4.1,,0.9,,17.1,,0,,,M,,M,0,,,,31,,41,
2001/4/30,2001,4,30,,13.3,,1,,7.2,,10.8,,0,,,M,,M,0,,,,,,<31,
2001/5/1,2001,5,1,,21.6,,1.9,,11.8,,6.2,,0,,,M,,M,0,,,,,,<31,
2001/5/2,2001,5,2,,22,,3.6,,12.8,,5.2,,0,,,M,,M,0,,,,,,<31,
2001/5/3,2001,5,3,,19.8,,4,,11.9,,6.1,,0,,,M,,M,0,,,,31,,50,
2001/5/4,2001,5,4,,14.3,,6.3,,10.3,,7.7,,0,,,M,,M,0,,,,32,,44,
2001/5/5,2001,5,5,,10.3,,-2.4,,4,,14,,0,,,M,,M,0,,,,33,,44,
2001/5/6,2001,5,6,,14.7,,-4.1,,5.3,,12.7,,0,,,M,,M,0,,,,,,<31,
2001/5/7,2001,5,7,,19.9,,-1,,9.5,,8.5,,0,,,M,,M,0,,,,33,,35,
2001/5/8,2001,5,8,,27.1,,1.7,,14.4,,3.6,,0,,,M,,M,0,,,,,,<31,
2001/5/9,2001,5,9,,26.7,,2.7,,14.7,,3.3,,0,,,M,,M,0,,,,,,<31,
2001/5/10,2001,5,10,,23.3,,6.1,,14.7,,3.3,,0,,,M,,M,0,,,,,,<31,
2001/5/11,2001,5,11,,25.1,,5.2,,15.2,,2.8,,0,,,M,,M,0,,,,,,<31,
2001/5/12,2001,5,12,,23.2,,6.9,,15.1,,2.9,,0,,,M,,M,,M,,,35,,35,
2001/5/13,2001,5,13,,9.9,,5.1,,7.5,,10.5,,0,,,M,,M,0,,,,32,,35,
2001/5/14,2001,5,14,,9,,4.8,,6.9,,11.1,,0,,,M,,M,3,,,,34,,43,
2001/5/15,2001,5,15,,13.8,,4.9,,9.4,,8.6,,0,,,M,,M,6,,,,10,,39,
2001/5/16,2001,5,16,,12.2,,5.5,,8.9,,9.1,,0,,,M,,M,0,,,,,,<31,
2001/5/17,2001,5,17,,13.5,,2,,7.8,,10.2,,0,,,M,,M,1,,,,,,<31,
2001/5/18,2001,5,18,,19.2,,0.5,,9.9,,8.1,,0,,,M,,M,0,,,,,,<31,
2001/5/19,2001,5,19,,17.1,,6.4,,11.8,,6.2,,0,,,M,,M,0,,,,,,<31,
2001/5/20,2001,5,20,,19.2,,3.6,,11.4,,6.6,,0,,,M,,M,0,,,,,,<31,
2001/5/21,2001,5,21,,21.2,,4,,12.6,,5.4,,0,,,M,,M,0,,,,,,<31,
2001/5/22,2001,5,22,,23.6,,4.5,,14.1,,3.9,,0,,,M,,M,0,,,,14,,37,
2001/5/23,2001,5,23,,24.2,,1.5,,12.9,,5.1,,0,,,M,,M,0,,,,,,<31,
2001/5/24,2001,5,24,,19.7,,5.5,,12.6,,5.4,,0,,,M,,M,0,,,,,,<31,
2001/5/25,2001,5,25,,26.1,,2.8,,14.5,,3.5,,0,,,M,,M,0,,,,,,<31,
2001/5/26,2001,5,26,,28.9,,6.6,,17.8,,0.2,,0,,,M,,M,2,,,,33,,32,
2001/5/27,2001,5,27,,28.3,,6.8,,17.6,,0.4,,0,,,M,,M,0,,,,,,<31,
2001/5/28,2001,5,28,,22.8,,13.5,,18.2,,0,,0.2,,,M,,M,0,,,,14,,35,
2001/5/29,2001,5,29,,15.9,,10.3,,13.1,,4.9,,0,,,M,,M,15,,,,16,,43,
2001/5/30,2001,5,30,,13.7,,7.8,,10.8,,7.2,,0,,,M,,M,1,,,,,,<31,
2001/5/31,2001,5,31,,9.1,,6.2,,7.7,,10.3,,0,,,M,,M,19,,,,32,,43,
2001/6/1,2001,6,1,,18.1,,4.3,,11.2,,6.8,,0,,,M,,M,1,,,,,,<31,
2001/6/2,2001,6,2,,14.1,,8.5,,11.3,,6.7,,0,,,M,,M,6,,,,13,,39,
2001/6/3,2001,6,3,,11.9,,8.5,,10.2,,7.8,,0,,,M,,M,9,,,,13,,39,
2001/6/4,2001,6,4,,12.5,,8.5,,10.5,,7.5,,0,,,M,,M,13,,,,,,<31,
2001/6/5,2001,6,5,,11,,7.5,,9.3,,8.7,,0,,,M,,M,5,,,,,,<31,
2001/6/6,2001,6,6,,18.1,,7.9,,13,,5,,0,,,M,,M,0,,,,,,<31,
2001/6/7,2001,6,7,,18.5,,8.7,,13.6,,4.4,,0,,,M,,M,1,,,,35,,33,
2001/6/8,2001,6,8,,16.6,,7,,11.8,,6.2,,0,,,M,,M,0,,,,1,,41,
2001/6/9,2001,6,9,,17.9,,5.4,,11.7,,6.3,,0,,,M,,M,11,,,,34,,37,
2001/6/10,2001,6,10,,17.9,,5.5,,11.7,,6.3,,0,,,M,,M,14,,,,5,,44,
2001/6/11,2001,6,11,,25.9,,3.8,,14.9,,3.1,,0,,,M,,M,1,,,,,,<31,
2001/6/12,2001,6,12,,24,,10.4,,17.2,,0.8,,0,,,M,,M,1,,,,19,,35,
2001/6/13,2001,6,13,,22.9,,10.3,,16.6,,1.4,,0,,,M,,M,0,,,,33,,43,
2001/6/14,2001,6,14,,21.9,,8.5,,15.2,,2.8,,0,,,M,,M,4,,,,35,,32,
2001/6/15,2001,6,15,,21.8,,12.6,,17.2,,0.8,,0,,,M,,M,1,,,,,,<31,
2001/6/16,2001,6,16,,27.2,,13.1,,20.2,,0,,2.2,,,M,,M,0,,,,14,,37,
2001/6/17,2001,6,17,,19.9,,14.3,,17.1,,0.9,,0,,,M,,M,10,,,,,,<31,
2001/6/18,2001,6,18,,19.5,,7.6,,13.6,,4.4,,0,,,M,,M,2,,,,33,,50,
2001/6/19,2001,6,19,,21.1,,6.1,,13.6,,4.4,,0,,,M,,M,0,,,,20,,37,
2001/6/20,2001,6,20,,21.2,,11.5,,16.4,,1.6,,0,,,M,,M,1,,,,30,,59,
2001/6/21,2001,6,21,,19.4,,7.9,,13.7,,4.3,,0,,,M,,M,0,,,,32,,33,
2001/6/22,2001,6,22,,20.7,,6.6,,13.7,,4.3,,0,,,M,,M,0,,,,,,<31,
2001/6/23,2001,6,23,,23.5,,14.3,,18.9,,0,,0.9,,,M,,M,14,,,,19,,37,
2001/6/24,2001,6,24,,24.8,,14.1,,19.5,,0,,1.5,,,M,,M,3,,,,,,<31,
2001/6/25,2001,6,25,,26,,12.3,,19.2,,0,,1.2,,,M,,M,0,,,,33,,33,
2001/6/26,2001,6,26,,25,,14.5,,19.8,,0,,1.8,,,M,,M,0,,,,,,<31,
2001/6/27,2001,6,27,,29.6,,13.6,,21.6,,0,,3.6,,,M,,M,3,,,,30,,54,
2001/6/28,2001,6,28,,16.1,,7.5,,11.8,,6.2,,0,,,M,,M,0,,,,33,,54,
2001/6/29,2001,6,29,,18.7,,5.4,,12.1,,5.9,,0,,,M,,M,12,,,,33,,33,
2001/6/30,2001,6,30,,22.4,,11.3,,16.9,,1.1,,0,,,M,,M,1,,,,30,,46,
2001/7/1,2001,7,1,,15.6,,11.3,,13.5,,4.5,,0,,,M,,M,23,,,,14,,32,
2001/7/2,2001,7,2,,16.7,,8.8,,12.8,,5.2,,0,,,M,,M,5,,,,33,E,57,E
2001/7/3,2001,7,3,,22.6,,7,,14.8,,3.2,,0,,,M,,M,0,,,,23,E,39,E
2001/7/4,2001,7,4,,21.3,,12.7,,17,,1,,0,,,M,,M,0,,,,14,,32,
2001/7/5,2001,7,5,,23.6,,14.7,,19.2,,0,,1.2,,,M,,M,0,,,,16,,33,
2001/7/6,2001,7,6,,20,,8.9,,14.5,,3.5,,0,,,M,,M,0,,,,,,<31,
2001/7/7,2001,7,7,,22,,8,,15,,3,,0,,,M,,M,0,,,,32,,33,
2001/7/8,2001,7,8,,22.3,,14.7,,18.5,,0,,0.5,,,M,,M,0,,,,,,<31,
2001/7/9,2001,7,9,,23.3,,14.2,,18.8,,0,,0.8,,,M,,M,0,,,,32,,37,
2001/7/10,2001,7,10,,20.9,,13.2,,17.1,,0.9,,0,,,M,,M,14,,,,13,,33,
2001/7/11,2001,7,11,,21.8,,13.1,,17.5,,0.5,,0,,,M,,M,10,,,,6,,32,
2001/7/12,2001,7,12,,20.6,,12.8,,16.7,,1.3,,0,,,M,,M,1,,,,,,<31,
2001/7/13,2001,7,13,,19.5,,12.9,,16.2,,1.8,,0,,,M,,M,5,,,,,,<31,
2001/7/14,2001,7,14,,19.6,,12.3,,16,,2,,0,,,M,,M,11,,,,,,<31,
2001/7/15,2001,7,15,,21.3,,13.1,,17.2,,0.8,,0,,,M,,M,14,,,,,,<31,
2001/7/16,2001,7,16,,18.2,,14.2,,16.2,,1.8,,0,,,M,,M,7,,,,,,<31,
2001/7/17,2001,7,17,,24.1,,12.7,,18.4,,0,,0.4,,,M,,M,2,,,,,,<31,
2001/7/18,2001,7,18,,23.5,,10.2,,16.9,,1.1,,0,,,M,,M,0,,,,,,<31,
2001/7/19,2001,7,19,,27.7,,10.2,,19,,0,,1,,,M,,M,0,,,,,,<31,
2001/7/20,2001,7,20,,29.8,,12,,20.9,,0,,2.9,,,M,,M,0,,,,,,<31,
2001/7/21,2001,7,21,,29.6,,14.5,,22.1,,0,,4.1,,,M,,M,2,,,,,,<31,
2001/7/22,2001,7,22,,26,,18.1,,22.1,,0,,4.1,,,M,,M,0,,,,33,,35,
2001/7/23,2001,7,23,,29.3,,16.7,,23,,0,,5,,,M,,M,0,,,,,,<31,
2001/7/24,2001,7,24,,26.6,,18.4,,22.5,,0,,4.5,,,M,,M,1,,,,33,,52,
2001/7/25,2001,7,25,,22,,12.1,,17.1,,0.9,,0,,,M,,M,0,,,,32,,39,
2001/7/26,2001,7,26,,16.4,,10.5,,13.5,,4.5,,0,,,M,,M,0,,,,30,,41,
2001/7/27,2001,7,27,,19.1,,9.6,,14.4,,3.6,,0,,,M,,M,0,,,,32,,46,
2001/7/28,2001,7,28,,19.7,,10.6,,15.2,,2.8,,0,,,M,,M,0,,,,32,,32,
2001/7/29,2001,7,29,,22.7,,9.4,,16.1,,1.9,,0,,,M,,M,2,,,,,,<31,
2001/7/30,2001,7,30,,27.3,,7.6,,17.5,,0.5,,0,,,M,,M,0,,,,,,<31,
2001/7/31,2001,7,31,,28.3,,9.2,,18.8,,0,,0.8,,,M,,M,0,,,,,,<31,
2001/8/1,2001,8,1,,29.5,,10.4,,20,,0,,2,,,M,,M,1,,,,,,<31,
2001/8/2,2001,8,2,,29.9,,16.2,,23.1,,0,,5.1,,,M,,M,0,,,,27,,33,
2001/8/3,2001,8,3,,23.3,,10.1,,16.7,,1.3,,0,,,M,,M,1,,,,35,,41,
2001/8/4,2001,8,4,,26.8,,8.4,,17.6,,0.4,,0,,,M,,M,0,,,,,,<31,
2001/8/5,2001,8,5,,30.1,,11.5,,20.8,,0,,2.8,,,M,,M,0,,,,,,<31,
2001/8/6,2001,8,6,,30.6,,19.1,,24.9,,0,,6.9,,,M,,M,0,,,,22,,32,
